name,strain,source,accession,date
hCoV-19/Wuhan/WH19004/2020|NMDC60013002-09|2020-01-01,hCoV-19/Wuhan/WH19004/2020,ngdc,NMDC60013002-09,2020-01-01
hCoV-19/Wuhan/WH19008/2019|NMDC60013002-06|2019-12-30,hCoV-19/Wuhan/WH19008/2019,ngdc,NMDC60013002-06,2019-12-30
